,No,Site ID,Fuel Acc,Updated Site Name,Company Name,Region,TA,Segment,Sub Segment,Station Add,Postcode,District,State,Site ID 2,Latitude,Longitude,region,id,Sales_70020771,Sales_70100346,Total Sales,Assigned Township
20,22.0,RYB0264,90030200.0,TAMAN RASHNA,DAYARIA SERVICES,CENTRAL 1,C02,Urban,Residential,"Lot 544, Jalan Batu Tiga Lama, Taman Rashna, Klang",41300.0,Klang,Selangor,RYB0264,3.053104,101.469874,Central,90030200,7262.0,1864.5,9126.5,Telok Menegun
21,23.0,RYB0617,90032084.0,PANDAMAR INDAH 2,ROFHAZ ENTERPRISE,CENTRAL 1,C02,Urban,Transient,H.S. (D) 26752 PT 26387 Tmn Pandamar Indah II Mukim Klang,41200.0,Klang,Selangor,RYB0617,2.983021,101.425532,Central,90032084,12426.5,13125.0,25551.5,Glenmarie Covie
22,24.0,RYB0632,90032293.0,BUKIT TINGGI 1,BUKIT TINGGI PRIMAX ENTERPRISE,CENTRAL 1,C02,Urban,Residential,Part of Lot 7725 Bandar Bukit Tinggi Klang Selangor,41200.0,Klang,Selangor,RYB0632,3.007304,101.439521,Central,90032293,12566.5,1527.0,14093.5,Pandamaran
23,25.0,RYB0650,90032655.0,TELOK PANGLIMA GARANG,AKRAB PADU ENTERPRISE,CENTRAL 1,C02,Urban,Residential,Lot 3020 Mukim Telok Panglima Garang,42500.0,Kuala Langat,Selangor,RYB0650,2.926285,101.473443,Central,90032655,29293.5,9022.0,38315.5,Teluk Panglima Garang
24,26.0,RYB0695,90033522.0,BUKIT TINGGI 2,STESYEN SRI LARIS,CENTRAL 1,C02,Urban,Residential,"Lot 1 Bandar Bukit Tinggi, Klang, Selangor",41200.0,Klang,Selangor,RYB0695,3.008252,101.432407,Central,90033522,14764.0,1688.0,16452.0,Pandamaran
25,27.0,RYB1029,90037670.0,JALAN SUNGAI JATI,AL-KAUTHAR ENTERPRISE,CENTRAL 1,C02,Urban,Transient,"Lot PT 58358-59, 58370-71, HS(D) 10362, Jalan Sungai Jati, Mukim Klang, Selangor",41000.0,Klang,Selangor,RYB1029,3.012906,101.458425,Central,90037670,15676.5,4307.0,19983.5,Kota Raja
26,28.0,RYB0994,90037880.0,KOTA BAYUEMAS,POTNAS ENTERPRISE,CENTRAL 1,C02,Rural,Transient,"Lot 4520, Fasa 1, Kota Bayu Emas, Mukim Klang, Selangor",42100.0,Klang,Selangor,RYB0994,2.97877,101.451484,Central,90037880,16421.0,11509.5,27930.5,Kota Raja
27,29.0,RYB0391,90048103.0,BANDAR KLANG,MZ STESEN NIAGA,CENTRAL 1,C02,Urban,Transient,"Lot 95-97, Jalan Batu 3 Lama, Bandar Kelang",41300.0,Klang,Selangor,RYB0391,3.048608,101.454378,Central,90048103,6972.0,1338.5,8310.5,Telok Menegun
28,30.0,RYB1132,90040731.0,SG JATI ARAH KELANG ,TUAH S JATI ENTERPRISE,CENTRAL 1,C02,Sub Urban,Transient,"Lot 2555 GM 944 & Lot 2556 GM 1649, Mukim Klang, Selangor",41000.0,Klang,Selangor,RYB1132,3.009029,101.473895,Central,90040731,11098.5,7240.5,18339.0,Kota Raja
29,31.0,RYB1031,90041005.0,JLN KLANG - BANTING,MAJU MAKMUR BARAKATH ENTERPRISE,CENTRAL 1,C02,Rural,Transient,"Lot PT 10116, HS(M) 10766, Mukim Telok Panglima Garang, ",42500.0,Kuala Langat,Selangor,RYB1031,2.944908,101.47082,Central,90041005,11377.0,3329.5,14706.5,Teluk Panglima Garang
